qosItems_LA,qosItems_PLLP,qosItems_PLRP,qosItems_JI,qosItems_ST,qosItems_LCT,qosItems_RCT,qosItems_MT,qosItems_UD,qosItems_NI,qosItems_TT,qosItems_TURN_TT,qosItems_IPR_Subnet_L2,qosItems_IPL_Subnet_L2,meanOpinionScore
6.0,0.0021992524,0.0,0.0,opus,prflx,srflx,audio,Win32,lan,udp,,34.77.0,185.149.0,4.19
6.0,0.0,0.0026534584,,VP8,prflx,srflx,video,Win32,lan,udp,,34.77.0,185.149.0,
6.0,0.0,0.0,,,prflx,srflx,screen share,Win32,lan,udp,,34.77.0,185.149.0,
12.0,0.0,0.0,,,srflx,srflx,screen share,Win32,lan,udp,,34.77.0,31.201.0,
13.0,0.0,0.002662525,,VP8,srflx,srflx,video,Win32,lan,udp,,34.77.0,31.201.0,
14.0,0.0,0.0,,,srflx,srflx,video,Win32,lan,udp,,34.77.0,31.201.0,
14.0,0.00122829,0.00083663804,1.0,opus,srflx,srflx,audio,Win32,lan,udp,,34.77.0,31.201.0,4.18
18.0,0.0,0.0,8.0,opus,prflx,host,audio,Win32,lan,udp,,156.150.0,159.46.0,4.18
34.0,0.0,0.7730148,14.0,opus,relay,host,audio,Android,wlan,udp,udp,212.159.0,34.90.0,3.77
27.0,0.0,0.0,4.0,opus,host,host,audio,Win32,lan,udp,,192.168.0,10.10.0,4.18
11.0,0.0,0.0,3.0,opus,host,host,audio,iOS,wlan,udp,,10.10.0,192.168.0,4.18
10.0,0.0,0.0,0.0,opus,srflx,host,audio,Win32,lan,udp,,212.159.0,185.149.0,4.19
16.0,0.0,0.0,0.0,opus,relay,host,audio,Win32,lan,udp,udp,212.159.0,34.90.0,4.18
16.0,0.0,0.0,2.0,PCMA,srflx,host,audio,iOS,wlan,udp,,212.159.0,195.35.0,4.09
31.0,0.0,1.2578616,2.0,PCMA,relay,host,audio,iOS,wlan,udp,udp,212.159.0,34.77.0,3.76
23.0,0.0,0.3079292,1.0,PCMU,relay,host,audio,Android,wlan,udp,udp,212.159.0,34.90.0,4.01
12.0,0.019608805,0.35265145,10.0,opus,srflx,srflx,audio,Android,wlan,udp,,34.90.0,77.168.0,3.99
13.0,0.0,0.20937721,,VP8,srflx,srflx,video,Android,wlan,udp,,34.90.0,77.168.0,
10.0,0.0,0.0,,,srflx,srflx,screen share,Android,wlan,udp,,34.90.0,77.168.0,
5.0,0.0,0.0,,VP8,srflx,srflx,video,Win32,lan,udp,,34.90.0,185.149.0,
5.0,0.0,0.0,5.0,opus,srflx,srflx,audio,Win32,lan,udp,,34.90.0,185.149.0,4.18
5.0,0.0,0.0,,,srflx,srflx,screen share,Win32,lan,udp,,34.90.0,185.149.0,
5.0,0.0,0.0,,,srflx,srflx,screen share,Win32,lan,udp,,34.90.0,185.149.0,
5.0,0.0,0.0,,,srflx,srflx,video,Win32,lan,udp,,34.90.0,185.149.0,
7.0,0.05373849,0.0,3.0,opus,srflx,srflx,audio,Win32,lan,udp,,34.90.0,185.149.0,4.18
5.0,0.0,1.6073382,,VP8,srflx,srflx,video,Win32,lan,udp,,34.90.0,185.149.0,
6.0,0.0,0.0,,,srflx,srflx,video,Win32,lan,udp,,34.77.0,185.149.0,
6.0,0.0,0.0,,,srflx,srflx,screen share,Win32,lan,udp,,34.77.0,185.149.0,
13.0,0.0,0.0,1.0,opus,relay,srflx,audio,iOS,wlan,udp,udp,34.90.0,34.90.0,4.18
13.0,0.0,0.2909886,,VP8,srflx,srflx,video,iOS,wlan,udp,,34.90.0,82.171.0,
4.0,0.0057303305,0.0,1.0,opus,srflx,srflx,audio,Win32,lan,udp,,34.90.0,185.149.0,4.19
5.0,0.0,0.0,,,srflx,srflx,screen share,Win32,lan,udp,,34.90.0,185.149.0,
5.0,0.03461919,0.0,1.0,opus,srflx,srflx,audio,Win32,lan,udp,,34.77.0,185.149.0,4.19
13.0,0.0,0.0,,,srflx,srflx,screen share,iOS,wlan,udp,,34.90.0,82.171.0,
5.0,0.0,0.0,,VP8,srflx,srflx,video,Win32,lan,udp,,34.90.0,185.149.0,
5.0,0.015377518,0.0,2.0,opus,srflx,srflx,audio,Win32,lan,udp,,34.90.0,185.149.0,4.19
5.0,0.0,0.0,,VP8,srflx,srflx,video,Win32,lan,udp,,34.90.0,185.149.0,
5.0,0.0,0.0,,,srflx,srflx,screen share,Win32,lan,udp,,34.90.0,185.149.0,
9.0,0.0,0.0,1.0,opus,srflx,srflx,audio,Win32,lan,udp,,34.90.0,185.149.0,4.18
6.0,0.0,0.0,,,srflx,srflx,screen share,Win32,lan,udp,,34.90.0,185.149.0,
5.0,0.0,0.0,,,srflx,srflx,video,Win32,lan,udp,,34.90.0,185.149.0,
5.0,0.0,0.0,,,srflx,srflx,video,Win32,lan,udp,,34.77.0,185.149.0,
6.0,0.0026813964,0.0,0.0,opus,srflx,srflx,audio,Win32,lan,udp,,34.77.0,185.149.0,4.19
5.0,0.0,0.0,,,srflx,srflx,screen share,Win32,lan,udp,,34.77.0,185.149.0,
19.0,0.0,2.4311182,2.0,PCMU,relay,host,audio,Android,wlan,udp,udp,212.159.0,34.90.0,3.48
16.0,0.0,0.0,1.0,PCMA,prflx,host,audio,Win32,lan,udp,,156.150.0,159.46.0,4.09
23.0,0.0,5.793178,3.0,PCMA,relay,host,audio,Android,wlan,udp,udp,212.159.0,34.90.0,2.8
8.0,0.0,0.0,2.0,opus,srflx,srflx,audio,Win32,lan,udp,,34.77.0,185.149.0,4.18
10.0,0.0,0.0,,,srflx,srflx,video,Win32,lan,udp,,34.77.0,185.149.0,
9.0,0.0,0.0,,,srflx,srflx,screen share,Win32,lan,udp,,34.77.0,185.149.0,
21.0,0.0,0.0,,,relay,host,audio,Android,wlan,udp,tcp,212.159.0,34.90.0,
4439.0,0.0,0.64935064,17.0,PCMA,relay,host,audio,iOS,wwan,udp,udp,212.159.0,34.90.0,1.16
16.0,0.0,0.0,4.0,opus,prflx,host,audio,Win32,lan,udp,,156.150.0,159.46.0,4.18
22.0,0.0,0.8003085,19.0,opus,relay,host,audio,Win32,lan,udp,tcp,212.159.0,34.90.0,3.75
1.0,0.0,0.0,6.0,opus,host,host,audio,Win32,lan,udp,,10.10.0,10.10.0,4.18
1.0,0.0,0.0,3.0,opus,host,host,audio,Win32,lan,udp,,10.10.0,10.10.0,4.19
20.0,0.0,0.0,0.0,PCMU,prflx,host,audio,Win32,lan,udp,,156.150.0,159.46.0,4.09
16.0,0.0,0.0,2.0,PCMU,prflx,host,audio,Win32,lan,udp,,156.150.0,159.46.0,4.09
17.0,0.0,0.0,1.0,G722,prflx,host,audio,Win32,lan,udp,,156.150.0,159.46.0,3.83
24.0,0.0,0.0,7.0,PCMU,srflx,host,audio,Android,wlan,udp,,212.159.0,213.10.0,4.08
6.0,0.0,0.0,2.0,opus,srflx,srflx,audio,Win32,lan,udp,,34.77.0,185.149.0,4.19
6.0,0.0,0.0,,VP8,srflx,srflx,video,Win32,lan,udp,,34.77.0,185.149.0,
7.0,0.0,0.0,,,srflx,srflx,screen share,Win32,lan,udp,,34.77.0,185.149.0,
20.0,0.0,0.0,,,prflx,host,audio,Win32,lan,udp,,156.150.0,159.46.0,
16.0,0.0,0.0,1.0,PCMU,prflx,host,audio,Win32,lan,udp,,156.150.0,159.46.0,4.09
17.0,0.0,0.0,0.0,PCMU,prflx,host,audio,Win32,lan,udp,,156.150.0,159.46.0,4.09
35.0,0.0,0.0,,,prflx,srflx,screen share,Android,wlan,udp,,34.77.0,195.35.0,
35.0,0.32178798,0.2273224,15.0,opus,prflx,srflx,audio,Android,wlan,udp,,34.77.0,195.35.0,4.05
32.0,0.0,0.0,,,prflx,srflx,video,Android,wlan,udp,,34.77.0,195.35.0,
55.0,0.0,0.0,5.0,PCMA,relay,host,audio,Android,wlan,udp,udp,212.159.0,34.90.0,4.07
5.0,0.0,0.0,0.0,opus,prflx,srflx,audio,Win32,lan,udp,,34.77.0,185.149.0,4.19
5.0,0.0,0.0,,,prflx,srflx,screen share,Win32,lan,udp,,34.77.0,185.149.0,
5.0,0.0,0.0,,,prflx,srflx,video,Win32,lan,udp,,34.77.0,185.149.0,
11.0,0.0,0.0,,,prflx,srflx,screen share,iOS,wlan,udp,,34.77.0,195.35.0,
12.0,0.0,0.0,,,prflx,srflx,video,iOS,wlan,udp,,34.77.0,195.35.0,
11.0,0.025100403,0.020275751,9.0,opus,relay,srflx,audio,iOS,wlan,udp,udp,34.77.0,34.77.0,4.17
28.0,0.0,0.53590566,1.0,PCMU,relay,host,audio,Android,wlan,udp,udp,212.159.0,34.77.0,3.95
29.0,0.0,0.39267015,8.0,PCMA,relay,host,audio,Android,wlan,udp,tcp,212.159.0,34.77.0,3.98
15.0,0.0,0.0,5.0,opus,host,host,audio,Win32,lan,udp,,192.168.0,10.10.0,4.18
7.0,0.0,0.0,4.0,opus,host,host,audio,iOS,wlan,udp,,10.10.0,192.168.0,4.18
34.0,0.0,0.0,,,relay,host,audio,Android,wlan,udp,udp,212.159.0,34.77.0,
17.0,0.0,0.0,1.0,opus,prflx,host,audio,Win32,lan,udp,,156.150.0,159.46.0,4.18
18.0,0.0,0.0,1.0,PCMU,prflx,host,audio,Win32,lan,udp,,156.150.0,159.46.0,4.09
19.0,0.0,0.03835091,5.0,opus,srflx,srflx,audio,Win32,lan,udp,,86.91.0,185.149.0,4.16
28.0,0.0,0.0,6.0,opus,srflx,srflx,audio,Android,wlan,udp,,185.149.0,86.91.0,4.18
28.0,0.0,0.0,4.0,opus,srflx,relay,audio,Android,wlan,udp,,34.77.0,86.93.0,4.18
29.0,0.0,0.0,3.0,opus,relay,srflx,audio,iOS,wlan,udp,udp,86.93.0,34.77.0,4.18
22.0,0.0,0.0,3.0,opus,relay,relay,audio,Android,wlan,udp,tcp,34.77.0,34.77.0,4.18
23.0,0.0,0.0,2.0,opus,relay,srflx,audio,Win32,lan,udp,udp,86.93.0,34.77.0,4.18
6.0,0.0,0.0,,VP8,srflx,srflx,video,Win32,lan,udp,,34.77.0,185.149.0,
5.0,0.0,0.0,6.0,opus,srflx,srflx,audio,Win32,lan,udp,,34.77.0,185.149.0,4.18
6.0,0.0,0.0,,VP8,srflx,srflx,video,Win32,lan,udp,,34.77.0,185.149.0,
5.0,0.0,0.0,,,srflx,srflx,screen share,Win32,lan,udp,,34.77.0,185.149.0,
6.0,0.010403662,1.6543543,2.0,PCMA,srflx,host,audio,Win32,lan,udp,,212.159.0,185.149.0,3.68
27.0,0.044929683,1.3793104,8.0,opus,relay,host,audio,Android,wlan,udp,udp,212.159.0,34.90.0,3.48
29.0,0.004324511,1.2806112,15.0,opus,relay,host,audio,iOS,wlan,udp,tcp,212.159.0,34.77.0,3.52
6.0,0.0,0.0,,,srflx,srflx,screen share,Win32,lan,udp,,34.77.0,185.149.0,
6.0,0.0,0.0,,VP8,srflx,srflx,video,Win32,lan,udp,,34.77.0,185.149.0,
6.0,0.0,0.0,2.0,opus,srflx,srflx,audio,Win32,lan,udp,,34.77.0,185.149.0,4.19
5.0,0.0,0.0,3.0,opus,srflx,srflx,audio,Win32,lan,udp,,34.77.0,185.149.0,4.18
6.0,0.0,0.0,,VP8,srflx,srflx,video,Win32,lan,udp,,34.77.0,185.149.0,
7.0,0.0,0.0,,,srflx,srflx,screen share,Win32,lan,udp,,34.77.0,185.149.0,
7.0,0.0,0.0,,VP8,srflx,srflx,video,Win32,lan,udp,,34.77.0,185.149.0,
262.0,0.0,0.0,3.0,PCMU,relay,host,audio,iOS,wlan,udp,udp,212.159.0,34.77.0,3.98
25.0,0.0,9.090909,4.0,PCMU,relay,host,audio,Win32,lan,udp,tls,212.159.0,34.77.0,2.34
17.0,0.0,0.0,1.0,PCMU,prflx,host,audio,Win32,lan,udp,,156.150.0,159.46.0,4.09
6.0,0.0,0.0,5.0,opus,srflx,srflx,audio,Win32,lan,udp,,34.77.0,185.149.0,4.18
6.0,0.0,0.0,,VP8,srflx,srflx,video,Win32,lan,udp,,34.77.0,185.149.0,
6.0,0.0,0.0,,,srflx,srflx,screen share,Win32,lan,udp,,34.77.0,185.149.0,
6.0,0.0,0.0,,VP8,srflx,srflx,video,Win32,lan,udp,,34.77.0,185.149.0,
6.0,0.0,0.0,,,srflx,srflx,screen share,Win32,lan,udp,,34.77.0,185.149.0,
6.0,0.0,0.0,,VP8,srflx,srflx,video,Win32,lan,udp,,34.77.0,185.149.0,
6.0,0.0,0.0,1.0,opus,srflx,srflx,audio,Win32,lan,udp,,34.77.0,185.149.0,4.19
5.0,0.0,0.0,2.0,opus,prflx,srflx,audio,Win32,lan,udp,,34.77.0,185.149.0,4.19
6.0,0.0,0.0,,,prflx,srflx,screen share,Win32,lan,udp,,34.77.0,185.149.0,
5.0,0.0,0.0,,VP8,prflx,srflx,video,Win32,lan,udp,,34.77.0,185.149.0,
19.0,0.0,0.0,1.0,PCMU,prflx,host,audio,Win32,lan,udp,,156.150.0,159.46.0,4.09
16.0,0.0,0.0,16.0,PCMA,prflx,host,audio,Win32,lan,udp,,156.150.0,159.46.0,4.08
16.0,0.0,0.0,,,prflx,srflx,screen share,Win32,lan,udp,,34.77.0,185.149.0,
15.0,0.0,0.0,,VP8,prflx,srflx,video,Win32,lan,udp,,34.77.0,185.149.0,
16.0,0.0,0.0,5.0,opus,prflx,srflx,audio,Win32,lan,udp,,34.77.0,185.149.0,4.18
21.0,0.0,0.0,1.0,PCMA,prflx,host,audio,Win32,lan,udp,,156.150.0,159.46.0,4.09
5.0,0.0,0.0,6.0,opus,prflx,srflx,audio,Win32,lan,udp,,34.90.0,185.149.0,4.18
5.0,0.0,0.0,,VP8,prflx,srflx,video,Win32,lan,udp,,34.90.0,185.149.0,
5.0,0.0,0.0,,,prflx,srflx,screen share,Win32,lan,udp,,34.90.0,185.149.0,
18.0,0.0,0.0,2.0,PCMU,prflx,host,audio,Win32,lan,udp,,156.150.0,159.46.0,4.09
16.0,0.0,0.0,1.0,PCMU,prflx,host,audio,Win32,lan,udp,,156.150.0,159.46.0,4.09
19.0,0.0,0.97642964,2.0,PCMA,relay,host,audio,Win32,lan,udp,tcp,212.159.0,34.90.0,3.84
63.0,0.0,1.4084507,4.0,opus,srflx,host,audio,iOS,wlan,udp,,212.159.0,80.61.0,3.46
26.0,0.0,0.0,3.0,PCMA,srflx,host,audio,iOS,wlan,udp,,212.159.0,94.208.0,4.08
22.0,0.0,0.0,,,srflx,host,audio,iOS,wlan,udp,,212.159.0,94.208.0,
5.0,0.0,0.0,,,prflx,srflx,screen share,Win32,lan,udp,,34.90.0,185.149.0,
6.0,0.0,0.0,0.0,opus,prflx,srflx,audio,Win32,lan,udp,,34.90.0,185.149.0,4.19
5.0,0.0,0.0,,,prflx,srflx,video,Win32,lan,udp,,34.90.0,185.149.0,
8.0,0.0,0.0,,,relay,srflx,screen share,Android,wlan,udp,udp,34.90.0,34.90.0,
9.0,0.80078566,1.2351946,,VP8,srflx,srflx,video,Android,wlan,udp,,34.90.0,77.168.0,
9.0,0.14492753,1.4084507,2.0,opus,srflx,srflx,audio,Android,wlan,udp,,34.90.0,77.168.0,3.48
9.0,0.013335112,1.0351275,6.0,PCMA,srflx,host,audio,Win32,lan,udp,,212.159.0,185.149.0,3.83
35.0,0.0,0.0,14.0,opus,prflx,srflx,audio,Android,wlan,udp,,34.90.0,195.35.0,4.17
28.0,0.0,0.0,,,prflx,srflx,video,Android,wlan,udp,,34.90.0,195.35.0,
34.0,0.0,0.0,,,prflx,srflx,screen share,Android,wlan,udp,,34.90.0,195.35.0,
5.0,0.0,0.0,3.0,opus,srflx,srflx,audio,Win32,lan,udp,,34.90.0,185.149.0,4.18
5.0,0.0,0.0,,,srflx,srflx,screen share,Win32,lan,udp,,34.90.0,185.149.0,
5.0,0.0,0.0,,VP8,srflx,srflx,video,Win32,lan,udp,,34.90.0,185.149.0,
6.0,0.0,0.0,,,prflx,srflx,video,Win32,lan,udp,,34.77.0,185.149.0,
12.0,0.0,0.0,,,srflx,srflx,screen share,Android,wlan,udp,,34.90.0,77.168.0,
28.0,0.0,42.449764,,VP8,relay,srflx,video,Android,wlan,udp,udp,34.90.0,34.90.0,
5.0,0.0,0.0,3.0,opus,prflx,srflx,audio,Win32,lan,udp,,34.77.0,185.149.0,4.18
5.0,0.0,0.0,,,prflx,srflx,screen share,Win32,lan,udp,,34.77.0,185.149.0,
12.0,4.317386,0.67114097,6.0,opus,srflx,srflx,audio,Android,wlan,udp,,34.90.0,77.168.0,3.83
6.0,0.0,0.0,3.0,opus,srflx,srflx,audio,Win32,lan,udp,,34.77.0,185.149.0,4.18
5.0,0.0,0.0,,,srflx,srflx,screen share,Win32,lan,udp,,34.77.0,185.149.0,
5.0,0.0,0.0,,,srflx,srflx,video,Win32,lan,udp,,34.77.0,185.149.0,
28.0,0.0,0.0,,,prflx,srflx,video,Android,wlan,udp,,34.77.0,195.35.0,
33.0,0.0,0.0,,,prflx,srflx,screen share,Android,wlan,udp,,34.77.0,195.35.0,
26.0,0.008250372,0.05384472,19.0,opus,prflx,srflx,audio,Android,wlan,udp,,34.77.0,195.35.0,4.14
18.0,0.0,0.0,1.0,PCMU,prflx,host,audio,Win32,lan,udp,,156.150.0,159.46.0,4.09
18.0,0.0,0.0,1.0,PCMU,prflx,host,audio,Win32,lan,udp,,156.150.0,159.46.0,4.09
18.0,0.0,0.0,4.0,opus,prflx,host,audio,Win32,lan,udp,,156.150.0,159.46.0,4.18
22.0,0.0,0.7702482,3.0,opus,relay,host,audio,Win32,lan,udp,udp,212.159.0,34.90.0,3.78
7.0,0.0,0.0,0.0,opus,srflx,srflx,audio,Win32,lan,udp,,34.77.0,185.149.0,4.19
7.0,0.0,0.0,,,srflx,srflx,screen share,Win32,lan,udp,,34.77.0,185.149.0,
6.0,0.0,0.0,,,srflx,srflx,video,Win32,lan,udp,,34.77.0,185.149.0,
18.0,0.0,0.0,4.0,opus,relay,srflx,audio,Win32,lan,udp,udp,77.161.0,34.77.0,4.18
10.0,0.0,0.0,0.0,opus,srflx,relay,audio,iOS,wlan,udp,,34.77.0,77.161.0,4.19
17.0,0.0,0.0,0.0,PCMU,prflx,host,audio,Win32,lan,udp,,156.150.0,159.46.0,4.09
7.0,0.0,0.0,5.0,opus,srflx,srflx,audio,Win32,lan,udp,,34.90.0,185.149.0,4.18
8.0,0.0,0.0,,,srflx,srflx,screen share,Win32,lan,udp,,34.90.0,185.149.0,
7.0,0.0,0.0,,VP8,srflx,srflx,video,Win32,lan,udp,,34.90.0,185.149.0,
54.0,0.0,0.90048075,3.0,PCMA,relay,host,audio,Android,wwan,udp,udp,212.159.0,34.90.0,3.84
5.0,0.0,0.0,,,prflx,srflx,video,Win32,lan,udp,,34.90.0,185.149.0,
6.0,0.0,0.0,,,prflx,srflx,video,Win32,lan,udp,,34.90.0,185.149.0,
5.0,0.0,0.0,,,prflx,srflx,screen share,Win32,lan,udp,,34.90.0,185.149.0,
13.0,0.0,0.0,,,srflx,srflx,video,iOS,wlan,udp,,34.90.0,82.171.0,
8.0,0.0,0.0,0.0,opus,prflx,srflx,audio,Win32,lan,udp,,34.90.0,185.149.0,4.19
14.0,0.0,0.0,1.0,opus,srflx,srflx,audio,iOS,wlan,udp,,34.90.0,82.171.0,4.18
14.0,0.0,0.0,,,srflx,srflx,screen share,iOS,wlan,udp,,34.90.0,82.171.0,
0.0,0.0,0.0,3.0,opus,host,host,audio,Win32,lan,udp,,10.10.0,10.10.0,4.19
0.0,0.0,0.0,6.0,opus,host,host,audio,Win32,lan,udp,,10.10.0,10.10.0,4.18
26.0,0.0,0.96930534,17.0,PCMA,relay,host,audio,Win32,lan,udp,udp,212.159.0,34.77.0,3.82
6.0,0.0,0.0,1.0,opus,prflx,srflx,audio,Win32,lan,udp,,34.77.0,185.149.0,4.19
7.0,0.0,0.0,,VP8,prflx,srflx,video,Win32,lan,udp,,34.77.0,185.149.0,
7.0,0.0,0.0,,,prflx,srflx,screen share,Win32,lan,udp,,34.77.0,185.149.0,
7.0,0.0,0.0,,VP8,prflx,srflx,video,Win32,lan,udp,,34.77.0,185.149.0,
36.0,0.0,0.38314176,19.0,opus,prflx,relay,audio,iOS,wlan,udp,,34.90.0,195.35.0,3.97
37.0,0.3841229,0.0,16.0,opus,relay,prflx,audio,iOS,wlan,udp,udp,NA.0,34.90.0,4.17
8.0,0.0,0.0,,,srflx,host,audio,Win32,lan,udp,,212.159.0,185.149.0,
5.0,0.0,0.11126693,,VP8,srflx,srflx,video,Win32,lan,udp,,34.77.0,185.149.0,
6.0,0.0,0.0,,,srflx,srflx,screen share,Win32,lan,udp,,34.77.0,185.149.0,
6.0,0.0,0.0011376564,2.0,opus,srflx,srflx,audio,Win32,lan,udp,,34.77.0,185.149.0,4.18
5.0,0.0,0.002255249,,VP8,srflx,srflx,video,Win32,lan,udp,,34.77.0,185.149.0,
16.0,0.0,0.0,0.0,PCMA,relay,host,audio,Win32,lan,udp,udp,212.159.0,34.90.0,4.09
18.0,0.0,0.0,3.0,opus,prflx,host,audio,Win32,lan,udp,,156.150.0,159.46.0,4.18
